exclude,type,citations,who,date,date_end,title,where,session,pdf,materials,teaser_video,teaser_video_embed,bibtex,doctoral_dissertation
NA,journal article,"Lai, H. C., Liu, Y., & <b>Tse, W. W.-Y.</b> (2021). Adjusting for partial invariance in latent parameter estimation: Comparing forward specification search and approximate invariance methods. <i>Behavior Research Methods</i>. https://doi.org/10.3758/s13428-021-01560-2","Lai, Liu, Y., & Tse, W. W.-Y.",7/8/21,NA,Adjusting for partial invariance in latent parameter estimation: Comparing forward specification search and approximate invariance methods,NA,NA,NA,NA,NA,NA,NA,NA
NA,journal article,"Zhang, X., <b>Tse, W. W.-Y.</b>, & Savalei, V. (2019). Improved properties of the big five inventory and the Rosenberg self-esteem scale in the expanded format relative to the likert format. <i>Frontiers in Psychology, 10</i>, 1286-1286. https://doi.org/10.3389/fpsyg.2019.01286","Zhang, Wing-Yee Tse W., & Savalei, V. ",6/4/19,NA,Improved properties of the big five inventory and the Rosenberg self-esteem scale in the expanded format relative to the likert format,NA,NA,NA,NA,NA,NA,NA,NA
NA,presentation,NA,"<b> Tse, W.W.-Y.</b>, Zhang, X., & Savalei, V.",4/1/17,NA,Examining the Order Effects in Psychological Scales in the Expanded Format,"Psychology Undergraduate Research Conference, University of British Columbia, Vancouver, BC",Poster Session,NA,NA,NA,NA,NA,NA
y,presentation,NA,"<b> Tse, W.W.-Y.</b>, Zhang, X., & Savalei, V.",3/28/17,NA,Examining the Order Effects in Psychological Scales in the Expanded Format,"Multidisciplinary Undergraduate Research Conference, University of British Columbia, Vancouver, BC",Poster Session,NA,NA,NA,NA,NA,NA
NA,presentation,NA,"<b> Tse, W.W.-Y.</b> & Lai, M. H. C.",7/14/20,7/17/20,Measurement Invariance for Ordered Categorical Variables: The Necessity of Strict Invariance for Valid Group Comparisons,Annual Meeting of the Psychometric Society (IMPS),Poster Session,NA,[Schedule](https://www.psychometricsociety.org/sites/main/files/file-attachments/imps_2020_virtual_schedule_g1.pdf?1594692842),NA,NA,NA,NA
NA,presentation,NA,"<b> Tse, W.W.-Y.</b> & Lai, M. H. C.",6/25/20,NA,Measurement Invariance for Ordered Categorical Variables: The Necessity of Strict Invariance for Valid Group Comparisons,A Meeting of Methodologies (AMOM),Paper Session,NA,[Slides](https://mfr.ca-1.osf.io/render?url=https://osf.io/qcfpg/?direct%26mode=render%26action=download%26mode=render),NA,NA,NA,NA
NA,presentation,NA,"<b> Tse, W.W.-Y.</b> & Lai, M. H. C.",6/2/20,6/3/20,Path to valid means comparisons: The necessity of strict measurement invariance for ordered categorical variables,Conference canceled due to Covid-19,Poster Session,NA,NA,NA,NA,NA,NA
NA,presentation,NA,"Cardenas, S.I., <b> Tse, W.W.-Y.</b>, & Saxbe, D.E.",4/29/21,5/2/21,Prenatal and postpartum testosterone synchrony in first time parents: Links with suboptimal relationship functioning and enhanced parenting outcomes,Virtual conference at the meeting of Western Psychological Association due to covid-19,Paper Session,NA,NA,NA,NA,NA,NA
NA,presentation,NA,"<b> Tse, W.W.-Y.</b> & Lai, M. H. C.",7/20/21,7/23/21,Incorporating uncertainty in design parameters: A hybrid classical-Bayesian power analysis approach for two-level cluster randomized trials,Virtual conference at the Annual Meeting of the Psychometric Society (IMPS) due to covid-19.,Paper Session,NA,[Schedule](https://www.psychometricsociety.org/sites/main/files/file-attachments/imps_2021_virtual_schedule.pdf),NA,NA,NA,NA
NA,presentation,NA,"<b> Tse, W.W.-Y.</b> & Lai, M. H. C.",8/12/21,8/14/21,A Bayesian approach to power analysis and sample size planning for cluster randomized trials,Virtual conference at the American Psychological Association (APA) Annual Convention due to covid-19,Poster Session,NA,NA,NA,NA,NA,NA
